altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
259.1955,2.93031E+15,6.00939E+13,7.74935E+11,383798750,1.85463E+14,3.70987E+12
17969.47608,1.91363E+15,2.25355E+13,7.17671E+11,383798750,4.10508E+13,3.34062E+12
41012.95491,1.21847E+15,9.16071E+12,6.43162E+11,155301760,8.13816E+12,2.86019E+12
60237.41632,8.50065E+14,4.4273E+12,5.81002E+11,155301760,2.2342E+12,2.45937E+12
81168.1552,5.56637E+14,2.11392E+12,5.22661E+11,99279152,5.835E+11,2.09586E+12
100593.3745,3.77926E+14,1.08881E+12,4.89823E+11,96323952,1.60409E+11,1.92482E+12
120825.606,2.7113E+14,5.50243E+11,4.55621E+11,74377528,35956323000,1.74668E+12
140233.1222,1.9117E+14,2.88274E+11,4.22813E+11,68941024,10064248000,1.5758E+12
158694.1704,1.32958E+14,1.52385E+11,3.9599E+11,68941024,4087276300,1.44025E+12
178838.5071,8.95401E+13,83517620000,3.72379E+11,61282852,823380090,1.32717E+12
202024.0172,4.5876E+13,34637101000,3.45203E+11,61282852,464712440,1.19703E+12
220879.6489,4.36607E+13,19181278000,3.23103E+11,57940284,310887440,1.09119E+12
241304.6627,2.07193E+13,11157227000,3.04903E+11,57919201,25092712,1.00461E+12
260641.2501,1.64093E+13,6662502900,2.89196E+11,57859484,3125451,9.30093E+11
282036.5721,1.04094E+13,2074086500,2.71817E+11,59658360,2677785,8.47645E+11
301618.8049,7.4864E+12,1349353700,2.56235E+11,59658360,2671638,7.73935E+11
318460.9857,4.23238E+12,1049701500,2.47318E+11,49132776,2666934,7.34693E+11
339167.1848,2.56752E+12,692969620,2.36356E+11,49132776,2662998,6.86448E+11
360549.8291,3.70567E+12,62121193,2.25035E+11,44768204,2662364,6.36627E+11
382114.5806,1.68945E+12,106276870,2.14375E+11,44293290,2930793,5.89594E+11
398836.4202,7.4817E+11,122298710,2.07463E+11,43645260,3009482,5.58862E+11
416549.4524,3.6681E+11,42274226,2.00142E+11,42381609,2993628,5.26308E+11
438953.829,3.91595E+11,20029185,1.90881E+11,39567488,2627954,4.85133E+11
461615.3531,4.25788E+11,30153345,1.81637E+11,43686692,360099,4.48668E+11
481173.9847,4.67222E+11,11450097,1.73773E+11,43686692,391056,4.22015E+11
501435.1157,5.33041E+11,3894890,1.65626E+11,45705656,401193,3.94404E+11
521627.7619,6.61438E+11,3787581,1.57507E+11,45856215,411768,3.66887E+11
540464.7381,1.19848E+12,1986063,1.52036E+11,46168132,428907,3.42871E+11
561697.6738,2.37016E+11,2735991,1.46549E+11,47296636,417765,3.16335E+11
581064.8732,2.69165E+11,2707454,1.41543E+11,47296636,160255,2.92131E+11
600714.0692,3.22965E+11,7719911,1.36464E+11,49879804,160797,2.67574E+11
621162.9757,4.47401E+11,771504,1.32591E+11,49879804,129523,2.53076E+11
640282.5012,1.32308E+12,801843,1.28985E+11,48678396,144589,2.39635E+11
661167.4001,97504308,805820,1.25045E+11,46701481,141970,2.24953E+11
681684.187,85137960,750050,1.2135E+11,40211044,149276,2.12335E+11
701476.306,89823984,1010864,1.18229E+11,32771460,132040,2.04768E+11
720900.1975,89823984,1027513,1.15167E+11,32771460,133425,1.97343E+11
741748.7485,82914640,1013355,1.1188E+11,27249480,11578,1.89372E+11
761661.1197,82914640,729073,1.08953E+11,27249480,3474509,1.81149E+11
778704.6565,74251336,750352,1.0661E+11,24945038,3491944,1.73642E+11
798951.218,74251336,784746,1.03827E+11,24945038,3515634,1.64723E+11
821834.2448,74600424,867736,1.00682E+11,25823318,5017166,1.54643E+11
841332.3805,80745392,964728,97156360000,25256898,15323752,1.4682E+11
860393.0352,80745392,1130538,93464442000,25256898,3586778,1.39395E+11
881731.5353,69522096,4290836,89331328000,25768226,3623096,1.31082E+11
902046.2768,69522096,369954,85434831000,25768226,3661092,1.23193E+11
921592.929,69452544,367183,82822779000,29054060,3701286,1.16331E+11
941530.0442,69880305,343043,80158553000,29733010,4096477,1.09332E+11
961761.855,70850400,340359,77454947000,31272760,4145134,1.02229E+11
982600.1687,74724616,340655,75074884000,36482200,4207043,95782748000
1001417.211,74724616,363767,73813655000,36482200,4263077,91869144000
1021523.466,89313696,361691,72466013000,26922862,4329663,87687398000
1040879.207,89313696,360816,71168674000,26922862,2038771,83661742000
1060772.048,54551836,367317,69637010000,28632436,346866,79783258000
1081302.706,54108900,370103,67814880000,27962489,701167,76095422000
1101097.146,52851832,336535,66058104000,26061156,702344,72539856000
1121289.517,40105180,334417,64266005000,17590294,300771,68912801000
1140795.031,40105180,1133145,61917361000,17590294,58616,66201685000
1161005.74,40110848,1117107,59234377000,28892148,356546,63712676000
1181383.841,40110848,1095461,56529173000,28892148,8315,61203054000
1201306.222,37337420,1069921,53884471000,17509176,8205,58749558000
1221169.241,37565396,1048837,52025221000,19157861,8099,56977038000
1241447.327,38312300,1003297,50150636000,24559358,13418,55187851000
1261015.31,36620984,989815,48341709000,32832322,13882,53461331000
1281655.266,36620984,1006768,46617549000,32832322,14781,51626026000
1301409.23,38366800,3835656,45570885000,24987122,125912,49822939000
1321219.977,38366800,3886597,44521213000,24987122,149292,48014672000
1341215.832,38480648,3965390,43461733000,18550606,121254,46189507000
1360749.14,37695257,4040908,42384977000,18342859,122766,44324206000
1381524.672,33238592,5037124,41183664000,17164010,124749,42229749000
1401221.255,31343642,5109993,40044735000,18791256,126793,40244057000
1421739.987,31343642,5198617,38858269000,18791256,129172,38175484000
1441271.457,32240236,5299655,38258882000,24884018,131716,37114514000
1462326.151,32240236,1665959,37836132000,24884018,134900,36353535000
1481777.019,35024260,4543711,37445584000,22839126,137575,35650521000
1501096.01,36124241,5618754,37057683000,21677768,141717,34952274000
1521318.779,40042420,6146202,35923083000,17540962,146337,33119045000
1541104.245,40101220,6077395,34765997000,17493832,151196,31254315000
1561948.181,40101220,6417930,33547017000,17493832,8978,29289836000
1581370.162,35578804,6829988,32490102000,18721830,8630,27732515000
1601525.847,35578804,7408941,31718637000,18721830,6514,27242620000
1621407.929,32778966,7721971,30957649000,21147882,6450,26759380000
1642078.242,31150410,5746181,30166486000,21191892,6380,26256977000
1661171.678,28860872,6345203,29355847000,21253764,6280,25630661000
1681293.897,28433736,7442236,28398635000,19898962,6061,24761500000
1701442.433,28433736,10110971,27440174000,19898962,5998,23891205000
1721058.296,31666600,2086917,26507050000,14322750,5937,23043917000
1741072.986,31666600,1298204,25777577000,14322750,5878,22184977000
1761254.393,34856500,1276930,25153505000,13551112,5819,21321680000
1781900.74,36933653,1263033,24515054000,13468399,5761,20438491000
1801280.86,40320536,1252136,23915760000,13333531,5708,19609469000
1821406.986,30139436,1240863,23388384000,15761708,5656,18899791000
1841600.16,30139436,1230687,22867127000,15761708,5606,18200289000
1861684.984,23733818,1221607,22348663000,15776316,5562,17504538000
1881480.916,23733818,704357,21853255000,15776316,132,16883007000
1901616.229,23311774,695190,21422023000,16662157,38,16550038000
1921590.567,22584691,690112,20994238000,16732268,7,16219730000
1940876.53,21026248,683438,20581200000,16882544,7,15900808000
1961840.056,20446670,676330,20140350000,17169934,7,15719139000
1981375.99,20446670,669795,19739999000,17169934,7,15762847000
2001763.145,21157034,663092,19322207000,17406476,8,15808459000
2021264.264,21157034,659987,18922571000,17406476,8,15852089000
2042075.036,22100874,653380,18435899000,16495256,9,15515512000
2061474.841,21854094,647339,17954358000,16307699,9,15024417000
2081370.819,21264262,641272,17460501000,15859416,10,14520762000
2101645.849,20275558,634129,16957241000,15345952,1,14007516000
2121621.769,20275558,628218,16846304000,15345952,1,13927005000
2141489.892,22708008,623146,16770217000,11741071,1,13884764000
2161676.794,22708008,617335,16692910000,11741071,1,13841845000
2181760.886,22814148,611651,16580405000,12431964,1,13664321000
2201480.852,22014041,600441,16295829000,14947672,1,12830471000
2221309.788,20112454,1094144,16009677000,20926672,1,11992002000
2241834.528,16774517,1147814,15713484000,13657959,1,11124112000
2261461.975,16774517,1153368,15479632000,13657959,1,10587519000
2281937.92,14521391,1171648,15311503000,11598330,1,10478113000
2301170.57,14521391,1167023,15153583000,11598330,1,10375352000
2320616.014,14208845,1166377,14993915000,11203823,1,10271453000
2341492.769,14341822,1166059,14528680000,11197048,2,10031748000
2362201.026,14654254,1354246,13885305000,11181129,2,9714639600
2380918.55,15034795,1583300,13303780000,9925625,2,9428015500
2401468.762,15034795,1587571,12665315000,9925625,2,9113326100
2421701.783,15024142,1592169,12458828000,9839733,2,8861494000
2441267.774,15024142,1597866,12311170000,9839733,2,8625111500
2461113.439,15565805,1386303,12161400000,11602536,3,8385349200
2481423.499,15476683,1089449,12019344000,12125281,4,8140293600
2501304.733,15252768,1102193,11956742000,13438663,14,7902561500
2521241.74,16125437,1116755,11893965000,15779780,0,7664162800
2541337.616,16125437,1131726,11830689000,15779780,0,7423865800
2561252.957,22027682,690056,11625522000,21934988,0,7197376100
2582182.397,22027682,701398,11149078000,21934988,0,6980688700
