16,0.08
17.5,0.14
20,0.22
22.5,0.32
25,0.4
27.5,0.54
30,0.68
32.5,0.85
35,1.01
37.5,1.18
40,1.36
42.5,1.52
45,1.69
47.5,1.85
50,2
52.5,2.14
55,2.27
57.5,2.39
60,2.5
62.5,2.61
65,2.69
67.5,2.78
70,2.85
72.5,2.91
75,2.96
100,3.15
150,2.77
200,2.31
250,1.94
300,1.66
350,1.45
400,1.28
450,1.15
500,1.04
550,0.94
600,0.86
800,0.86
1000,0.86
1500,0.86
2000,0.86
3000,0.86
4000,0.86
5000,0.86
6000,0.86
7000,0.86
8000,0.86
9000,0.86
10000,0.86
12500,0.86
15000,0.86
