Electron Energy (eV),CS(H2O+ + OH+ + O+ x 10^-16 cm^2),CS(O2+ x 10^-19 cm^2),CS(H2+ x 10^-19 cm^2),CS(H+ x 10^-17 cm^2)
13.5,0.034,0,0,0
15,0.133,0,0,0
17.5,0.292,0,0,0
20,0.457,0,0,0.026
22.5,0.628,0,0,0.098
25,0.779,0,0,0.223
30,1.04,0,0.3,0.465
35,1.24,0,0.78,0.813
40,1.41,0,1.31,1.18
45,1.52,0,1.53,1.55
50,1.61,0,1.55,1.9
60,1.74,0,1.66,2.5
70,1.8,0,1.7,2.95
80,1.85,0,1.7,3.35
90,1.86,0.08,1.75,3.62
100,1.87,0.2,1.75,3.8
110,1.86,0.48,1.73,3.9
125,1.82,0.72,1.66,3.94
150,1.76,1.22,1.62,3.89
175,1.69,1.85,1.56,3.83
200,1.64,1.87,1.56,3.65
250,1.49,2.03,1.38,3.28
300,1.35,1.85,1.35,2.94
400,1.17,1.38,1.27,2.44
500,0.999,1.08,0.91,2.04
600,0.884,0.99,0.95,1.76
700,0.779,0.82,0.61,1.52
800,0.709,0.81,0.74,1.37
900,0.653,0.61,0.72,1.22
1000,0.595,0.67,0.57,1.11
2000,0.349,0.4,0.4,0.66
3000,0.251,0.3,0.3,0.48
4000,0.198,0.2,0.2,0.38
5000,0.164,0.2,0.2,0.31
6000,0.14,0.2,0.2,0.27
7000,0.123,0.1,0.1,0.24
8000,0.113,0.1,0.1,0.21
9000,0.096,0.1,0.1,0.18
10000,0.09,0.1,0.1,0.17
12500,0.074,0.1,0.1,0.14
15000,0.064,0.1,0.1,0.12
17500,0.055,0.1,0.1,0.11
20000,0.05,0.1,0.1,0.09
22500,0.045,0.1,0.1,0.08
25000,0.04,0,0,0.08
27500,0.037,0,0,0.07
30000,0.034,0,0,0.07
