Energy (eV),CS(H2+ x 10-^-17 cm^2),CS(H+ x 10^-18 cm^2
17,0.611,0
20,2.79,0
25,5.13,0.455
30,6.9,0.919
35,7.95,1.88
40,8.68,3.07
45,8.96,4.36
50,9.16,5.14
55,9.3,6.08
60,9.37,6.64
65,9.34,7.24
70,9.31,7.48
75,9.22,7.81
80,9.13,7.82
85,9.02,7.94
90,8.9,7.97
95,8.81,8.03
100,8.68,8
110,8.39,7.84
120,8.2,7.61
140,7.74,7.04
160,7.32,6.68
180,6.84,6.18
200,6.48,5.69
225,6.09,5.26
250,5.72,4.67
275,5.34,4.28
300,5.07,4.06
350,4.58,3.5
400,4.19,3.03
450,3.83,2.67
500,3.58,2.48
550,3.26,2.17
600,3.05,2.01
650,2.9,1.85
700,2.72,1.75
750,2.61,1.62
800,2.47,1.52
850,2.38,1.4
900,2.26,1.37
950,2.13,1.27
1000,2.02,1.19
2000,0.94,0.6
3000,0.83,0.53
4000,0.65,0.42
5000,0.54,0.34
6000,0.46,0.29
7000,0.4,0.26
8000,0.36,0.23
9000,0.32,0.2
10000,0.3,0.19
12500,0.24,0.16
15000,0.21,0.13
17500,0.18,0.11
20000,0.16,0.1
22500,0.14,0.09
25000,0.13,0.08
27500,0.12,0.08
30000,0.1,0.07
