,ATM,ALT,OI1356,OI1304
0,1.0,25900.0,10.16987679723406,5.533011633867097
1,1.0,1800000.0,3.8503975747074177,2.3384312410187444
2,1.0,4100000.0,1.5783263296922898,1.0915201106125223
3,1.0,6020000.0,0.7792528082577354,0.6142514604593915
4,1.0,8120000.0,0.37728091228075034,0.34164915491098513
5,1.0,10100000.0,0.1944526325635244,0.20374793741738031
6,1.0,12100000.0,0.10058185597421651,0.12835211707146482
7,1.0,14000000.0,0.054089561019141315,0.08279441189695688
8,1.0,15900000.0,0.030345627022203017,0.054312271239400516
9,1.0,17900000.0,0.016490692751613432,0.034754858693517125
10,1.0,20200000.0,0.007688410452965292,0.017473100215095145
11,1.0,22100000.0,0.004990693556602064,0.015572537078465816
12,1.0,24100000.0,0.002542067811773378,0.007457730904759168
13,1.0,26100000.0,0.0015812209755956858,0.0057110136296226344
14,1.0,28200000.0,0.0008122273355880099,0.003534673287234409
15,1.0,30200000.0,0.0005444432307655771,0.0025271523408507994
16,1.0,31800000.0,0.00032543248968006257,0.0014354124058234853
17,1.0,33900000.0,0.00019096568991572332,0.0008690229896594138
18,1.0,36100000.0,0.0001848006195376038,0.001213028464214142
19,1.0,38200000.0,7.834543120342497e-05,0.0005499019304924043
20,1.0,39900000.0,5.109950540380086e-05,0.000250884401119686
21,1.0,41700000.0,3.341541916724177e-05,0.00012690257104070493
22,1.0,43900000.0,2.1152234252768482e-05,0.000128911226438784
23,1.0,46200000.0,1.7214046657121602e-05,0.00013745753401012755
24,1.0,48100000.0,1.7554226130074696e-05,0.00015008611964839006
25,1.0,50100000.0,1.955411152361374e-05,0.00017107789605826603
26,1.0,52200000.0,2.3802864986930468e-05,0.00021195817714340793
27,1.0,54000000.0,4.2777348100355575e-05,0.00038459689004204263
28,1.0,56200000.0,8.893823182949761e-06,7.616112339727867e-05
29,1.0,58100000.0,1.0138838548121516e-05,8.646463759182442e-05
30,1.0,60100000.0,1.2220554005655021e-05,0.00010384303284412002
31,1.0,62100000.0,1.6264152931320198e-05,0.00014341276979520532
32,1.0,64000000.0,4.706579280427294e-05,0.00042306146713988647
33,1.0,66100000.0,4.86078980574163e-07,2.5151308972378964e-07
34,1.0,68200000.0,4.1163692523037164e-07,2.137646311789392e-07
35,1.0,70100000.0,4.4259966321329327e-07,2.293261783594981e-07
36,1.0,72100000.0,4.384627857780918e-07,2.274380694667821e-07
37,1.0,74200000.0,4.2902604654544075e-07,2.2103188566498404e-07
38,1.0,76200000.0,3.182496619021605e-07,1.7047252532067107e-07
39,1.0,77900000.0,3.83216679821869e-07,1.975077136645543e-07
40,1.0,79900000.0,4.121748218651499e-07,2.1072447591204368e-07
41,1.0,82200000.0,9.311337081145385e-07,4.47673350734939e-07
42,1.0,84100000.0,4.477941270050114e-07,2.2892850978165758e-07
43,1.0,86000000.0,4.7629261599995177e-07,2.4193548215218533e-07
44,1.0,88200000.0,6.459687081383838e-07,3.1596986326832555e-07
45,1.0,90200000.0,4.7589708026338586e-07,2.383476087980895e-07
46,1.0,92200000.0,5.402485070265212e-07,2.6771819157042626e-07
47,1.0,94200000.0,5.770348771673285e-07,2.846295200600498e-07
48,1.0,96200000.0,4.943326441620531e-07,2.4718768804480636e-07
49,1.0,98300000.0,5.726078619990587e-07,2.840692812990753e-07
50,1.0,100000000.0,7.196968374578209e-07,3.512020419216389e-07
51,1.0,102000000.0,7.845638733050653e-07,3.8524967388719207e-07
52,1.0,104000000.0,7.340020379908102e-07,3.621727874230362e-07
53,1.0,106000000.0,7.373731140064305e-07,3.53154685712503e-07
54,1.0,108000000.0,7.419519866439607e-07,3.5509241156427863e-07
55,1.0,110000000.0,7.28120016365653e-07,3.484143002536236e-07
56,1.0,112000000.0,1.1459522494854645e-06,5.352226615839973e-07
57,1.0,114000000.0,1.228689798180705e-06,5.729848394340322e-07
58,1.0,116000000.0,2.865054650158564e-06,1.3198368013595892e-06
59,1.0,118000000.0,2.9891609732011406e-06,1.376480068134498e-06
60,1.0,120000000.0,5.609084464623665e-06,2.5713853983840683e-06
61,1.0,122000000.0,1.545762112285442e-06,7.169389899378078e-07
62,1.0,124000000.0,1.5182076503701173e-06,7.045758394055391e-07
63,1.0,126000000.0,1.9318353571729096e-06,8.928421407363334e-07
64,1.0,128000000.0,1.2929176200244891e-06,6.012342117823744e-07
65,1.0,130000000.0,1.4078944503445185e-06,6.542583035218369e-07
66,1.0,132000000.0,1.449263224692063e-06,6.731393924468161e-07
67,1.0,134000000.0,1.6101453231687008e-06,7.465978839610311e-07
68,1.0,136000000.0,6.770213825511706e-07,3.2046815709431447e-07
69,1.0,138000000.0,8.009687849860752e-07,3.756698676112601e-07
70,1.0,140000000.0,7.273571974444364e-07,3.4149483021321987e-07
71,1.0,142000000.0,7.365502584104791e-07,3.456906277520653e-07
72,1.0,144000000.0,4.028739294607163e-07,1.9367148834160938e-07
73,1.0,146000000.0,2.383181381665703e-07,1.1856671239529253e-07
74,1.0,148000000.0,3.822884262206526e-07,1.851279122174325e-07
75,1.0,150000000.0,4.1496263991016607e-07,2.0037537389915067e-07
76,1.0,152000000.0,3.4109623032627417e-07,1.6784855246806858e-07
77,1.0,154000000.0,3.4155941494359215e-07,1.6809037692849995e-07
78,1.0,156000000.0,3.7189651613182713e-07,1.819365088068361e-07
79,1.0,158000000.0,4.7469987834455814e-07,2.2748788498429933e-07
80,1.0,160000000.0,5.022790612429363e-07,2.4007527760095985e-07
81,1.0,162000000.0,5.251628297243467e-07,2.496678031097671e-07
82,1.0,164000000.0,4.60295244807916e-07,2.1957487712430495e-07
83,1.0,166000000.0,5.296216290136859e-07,2.5051635312210467e-07
84,1.0,168000000.0,9.570813060938913e-07,4.4546076576310584e-07
85,1.0,170000000.0,5.617796845497442e-07,2.6504147159061404e-07
86,1.0,172000000.0,1.960123998765394e-07,9.910587079859016e-08
87,1.0,174000000.0,1.6153842125348577e-07,8.337163002772495e-08
88,1.0,176000000.0,1.5705490098054173e-07,8.229883793072178e-08
89,1.0,178000000.0,1.5942379760339238e-07,8.398847898571617e-08
90,1.0,180000000.0,1.8252652336699047e-07,9.55671486724165e-08
91,1.0,182000000.0,1.5274850823047843e-07,7.887306902950007e-08
92,1.0,184000000.0,1.6102226309998152e-07,8.264928681449322e-08
93,1.0,186000000.0,1.437890798923171e-07,7.283684802262656e-08
94,1.0,188000000.0,2.89499096205542e-07,1.3934023901404444e-07
95,1.0,190000000.0,3.2303964245564865e-07,1.545267616969317e-07
96,1.0,192000000.0,3.156604726992448e-07,1.5094588158120656e-07
97,1.0,194000000.0,3.2066015112552004e-07,1.5274101689135713e-07
98,1.0,196000000.0,3.0960728855173216e-07,1.4751385234359113e-07
