altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
2.59E+02,2.93E+15,2.19E+15,4.10E+13,3.84E+08,6.45E+15,1.95E+14
1.80E+04,1.91E+15,8.23E+14,3.79E+13,3.84E+08,1.43E+15,1.76E+14
4.10E+04,1.22E+15,3.34E+14,3.38E+13,1.55E+08,2.85E+14,1.51E+14
6.02E+04,8.50E+14,1.63E+14,3.04E+13,1.55E+08,7.81E+13,1.30E+14
8.12E+04,5.57E+14,7.78E+13,2.73E+13,9.93E+07,2.00E+13,1.11E+14
1.01E+05,3.78E+14,3.94E+13,2.57E+13,9.63E+07,5.65E+12,1.02E+14
1.21E+05,2.71E+14,1.98E+13,2.41E+13,7.44E+07,1.45E+12,9.28E+13
1.40E+05,1.91E+14,1.03E+13,2.26E+13,6.89E+07,4.37E+11,8.37E+13
1.59E+05,1.33E+14,5.58E+12,2.13E+13,6.89E+07,1.61E+11,7.65E+13
1.79E+05,8.95E+13,2.90E+12,2.02E+13,6.13E+07,3.67E+10,7.06E+13
2.02E+05,4.59E+13,1.32E+12,1.89E+13,6.13E+07,1.44E+10,6.37E+13
2.21E+05,4.37E+13,7.50E+11,1.79E+13,5.79E+07,6.30E+09,5.81E+13
2.41E+05,2.07E+13,3.94E+11,1.70E+13,5.79E+07,5.62E+08,5.36E+13
2.61E+05,1.64E+13,2.18E+11,1.61E+13,5.79E+07,1.43E+08,4.97E+13
2.82E+05,1.04E+13,9.68E+10,1.52E+13,5.97E+07,5.21E+07,4.54E+13
3.02E+05,7.49E+12,6.09E+10,1.44E+13,5.97E+07,3.99E+07,4.16E+13
3.18E+05,4.23E+12,3.83E+10,1.39E+13,4.91E+07,4.11E+07,3.93E+13
3.39E+05,2.57E+12,2.18E+10,1.32E+13,4.91E+07,4.15E+07,3.66E+13
3.61E+05,3.71E+12,1.17E+10,1.25E+13,4.48E+07,4.25E+07,3.37E+13
3.82E+05,1.69E+12,4.06E+09,1.19E+13,4.43E+07,5.77E+07,3.11E+13
3.99E+05,7.48E+11,5.37E+09,1.15E+13,4.36E+07,5.74E+07,2.94E+13
4.17E+05,3.67E+11,4.45E+09,1.11E+13,4.24E+07,5.89E+07,2.77E+13
4.39E+05,3.92E+11,1.59E+09,1.06E+13,3.96E+07,5.71E+07,2.55E+13
4.62E+05,4.26E+11,4.72E+08,1.02E+13,4.37E+07,3.16E+07,2.36E+13
4.81E+05,4.67E+11,2.31E+08,9.76E+12,4.37E+07,2.87E+07,2.21E+13
5.01E+05,5.33E+11,1.59E+08,9.36E+12,4.57E+07,4.85E+07,2.06E+13
5.22E+05,6.61E+11,9.99E+07,8.96E+12,4.59E+07,3.73E+07,1.91E+13
5.40E+05,1.20E+12,8.67E+07,8.63E+12,4.62E+07,4.27E+07,1.80E+13
5.62E+05,2.37E+11,1.14E+08,8.28E+12,4.73E+07,4.26E+07,1.69E+13
5.81E+05,2.69E+11,1.39E+08,7.97E+12,4.73E+07,3.99E+07,1.59E+13
6.01E+05,3.23E+11,1.77E+08,7.64E+12,4.99E+07,2.13E+07,1.48E+13
6.21E+05,4.47E+11,1.04E+08,7.37E+12,4.99E+07,1.43E+07,1.40E+13
6.40E+05,1.32E+12,9.77E+07,7.12E+12,4.87E+07,1.34E+07,1.32E+13
6.61E+05,9.75E+07,1.05E+08,6.84E+12,4.67E+07,1.35E+07,1.24E+13
6.82E+05,8.51E+07,8.89E+07,6.58E+12,4.02E+07,1.48E+07,1.16E+13
7.01E+05,8.98E+07,9.56E+07,6.37E+12,3.28E+07,1.57E+07,1.10E+13
7.21E+05,8.98E+07,9.47E+07,6.16E+12,3.28E+07,1.22E+07,1.04E+13
7.42E+05,8.29E+07,9.27E+07,5.93E+12,2.72E+07,1.52E+07,9.83E+12
7.62E+05,8.29E+07,6.86E+07,5.74E+12,2.72E+07,5.28E+07,9.31E+12
7.79E+05,7.43E+07,8.28E+07,5.59E+12,2.49E+07,5.05E+07,8.91E+12
7.99E+05,7.43E+07,8.91E+07,5.41E+12,2.49E+07,5.47E+07,8.44E+12
8.22E+05,7.46E+07,2.02E+08,5.21E+12,2.58E+07,6.70E+07,7.91E+12
8.41E+05,8.07E+07,9.68E+07,5.05E+12,2.53E+07,1.69E+08,7.53E+12
8.60E+05,8.07E+07,1.03E+08,4.89E+12,2.53E+07,5.36E+07,7.18E+12
8.82E+05,6.95E+07,1.40E+08,4.72E+12,2.58E+07,7.13E+07,6.79E+12
9.02E+05,6.95E+07,1.03E+08,4.55E+12,2.58E+07,5.47E+07,6.41E+12
9.22E+05,6.95E+07,1.17E+08,4.42E+12,2.91E+07,5.51E+07,6.11E+12
9.42E+05,6.99E+07,1.25E+08,4.29E+12,2.97E+07,6.26E+07,5.81E+12
9.62E+05,7.09E+07,1.07E+08,4.15E+12,3.13E+07,8.95E+07,5.50E+12
9.83E+05,7.47E+07,1.24E+08,4.01E+12,3.65E+07,8.46E+07,5.21E+12
1.00E+06,7.47E+07,1.56E+08,3.91E+12,3.65E+07,8.59E+07,4.99E+12
1.02E+06,8.93E+07,1.70E+08,3.80E+12,2.69E+07,8.91E+07,4.76E+12
1.04E+06,8.93E+07,1.59E+08,3.70E+12,2.69E+07,7.03E+07,4.54E+12
1.06E+06,5.46E+07,1.60E+08,3.59E+12,2.86E+07,6.48E+07,4.33E+12
1.08E+06,5.41E+07,1.61E+08,3.49E+12,2.80E+07,4.86E+07,4.14E+12
1.10E+06,5.29E+07,1.58E+08,3.39E+12,2.61E+07,4.90E+07,3.96E+12
1.12E+06,4.01E+07,2.49E+08,3.29E+12,1.76E+07,1.27E+07,3.78E+12
1.14E+06,4.01E+07,2.67E+08,3.18E+12,1.76E+07,1.05E+07,3.63E+12
1.16E+06,4.01E+07,6.23E+08,3.07E+12,2.89E+07,1.36E+07,3.48E+12
1.18E+06,4.01E+07,6.50E+08,2.96E+12,2.89E+07,1.21E+07,3.34E+12
1.20E+06,3.73E+07,1.22E+09,2.85E+12,1.75E+07,1.05E+07,3.20E+12
1.22E+06,3.76E+07,3.36E+08,2.77E+12,1.92E+07,1.15E+07,3.08E+12
1.24E+06,3.83E+07,3.30E+08,2.68E+12,2.46E+07,2.57E+07,2.95E+12
1.26E+06,3.66E+07,4.20E+08,2.60E+12,3.28E+07,7.85E+06,2.84E+12
1.28E+06,3.66E+07,2.81E+08,2.52E+12,3.28E+07,7.90E+06,2.72E+12
1.30E+06,3.84E+07,3.06E+08,2.46E+12,2.50E+07,9.06E+06,2.62E+12
1.32E+06,3.84E+07,3.15E+08,2.41E+12,2.50E+07,8.58E+06,2.52E+12
1.34E+06,3.85E+07,3.50E+08,2.36E+12,1.86E+07,8.91E+06,2.42E+12
1.36E+06,3.77E+07,1.47E+08,2.30E+12,1.83E+07,9.69E+06,2.32E+12
1.38E+06,3.32E+07,1.74E+08,2.24E+12,1.72E+07,9.64E+06,2.24E+12
1.40E+06,3.13E+07,1.58E+08,2.18E+12,1.88E+07,9.90E+06,2.16E+12
1.42E+06,3.13E+07,1.60E+08,2.12E+12,1.88E+07,2.82E+07,2.07E+12
1.44E+06,3.22E+07,8.74E+07,2.07E+12,2.49E+07,8.98E+07,2.00E+12
1.46E+06,3.22E+07,5.16E+07,2.02E+12,2.49E+07,2.32E+07,1.92E+12
1.48E+06,3.50E+07,8.29E+07,1.96E+12,2.28E+07,4.29E+07,1.85E+12
1.50E+06,3.61E+07,9.00E+07,1.91E+12,2.17E+07,4.25E+07,1.78E+12
1.52E+06,4.00E+07,7.39E+07,1.87E+12,1.75E+07,4.23E+07,1.71E+12
1.54E+06,4.01E+07,7.40E+07,1.82E+12,1.75E+07,4.34E+07,1.65E+12
1.56E+06,4.01E+07,8.06E+07,1.78E+12,1.75E+07,4.35E+07,1.59E+12
1.58E+06,3.56E+07,1.03E+08,1.74E+12,1.87E+07,4.69E+07,1.53E+12
1.60E+06,3.56E+07,1.09E+08,1.70E+12,1.87E+07,5.21E+07,1.49E+12
1.62E+06,3.28E+07,1.14E+08,1.66E+12,2.11E+07,5.89E+07,1.44E+12
1.64E+06,3.12E+07,9.99E+07,1.63E+12,2.12E+07,7.17E+07,1.39E+12
1.66E+06,2.89E+07,1.15E+08,1.59E+12,2.13E+07,4.57E+07,1.35E+12
1.68E+06,2.84E+07,2.08E+08,1.56E+12,1.99E+07,4.15E+06,1.31E+12
1.70E+06,2.84E+07,1.22E+08,1.52E+12,1.99E+07,4.22E+07,1.26E+12
1.72E+06,3.17E+07,4.24E+07,1.49E+12,1.43E+07,2.25E+07,1.22E+12
1.74E+06,3.17E+07,3.49E+07,1.45E+12,1.43E+07,3.81E+06,1.18E+12
1.76E+06,3.49E+07,3.39E+07,1.41E+12,1.36E+07,4.44E+06,1.14E+12
1.78E+06,3.69E+07,3.44E+07,1.37E+12,1.35E+07,4.62E+06,1.10E+12
1.80E+06,4.03E+07,3.94E+07,1.33E+12,1.33E+07,3.53E+06,1.07E+12
