Ganymede_AD_newJADE_input
altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
259.1955,2930310700000000,857686968000000,41019407000000,383798750,2703596660000000,194934705000000
17969.47608,1913628000000000,321727508000000,37877285400000,383798750,598535728000000,175838730000000
41012.95491,1218471700000000,130637340600000,33788958700000,155301760,118975435000000,150992266000000
60237.41632,850065430000000,63421118400000,30378194700000,155301760,32642739300000,130263632000000
81168.1552,556637440000000,30242214900000,27256599600000,99279152,8427164350000,111385018000000
100593.3745,377926040000000,15485400300000,25710408300000,96323952,2341492980000,102285504000000
120825.606,271129750000000,7794374900000,24099981400000,74377528,561890417000,92807953000000
140233.1222,191170040000000,4071035670000,22555199000000,68941024,159261449000,83716732000000
158694.1704,132957800000000,2167201840000,21295038300000,68941024,61038506100,76528551300000
178838.5071,89540148000000,1164298943000,20189977100000,61282852,14402902200,70568089500000
202024.0172,45876025000000,501158230000,18918084000000,61282852,6172643280,63707776800000
220879.6489,43660749000000,278942791000,17883716200000,57940284,3683465062,58128621700000
241304.6627,20719339000000,156683059300,16960064500000,57919201,373500228,53606155000000
260641.2501,16409266000000,91266074600,16137868100000,57859484,66751949,49728392800000
282036.5721,10409442000000,33420579600,15228134600000,59658360,44075239,45437775900000
301618.8049,7486398700000,19838166300,14407716900000,59658360,32087599,41587822100000
318460.9857,4232384900000,15157302500,13870703200000,49132776,32673801,39339675100000
339167.1848,2567516200000,9916695960,13210485700000,49132776,32561929,36575750400000
360549.8291,3705674000000,1844323290,12528698800000,44768204,35598347,33721527800000
382114.5806,1689451700000,1633413040,11903608200000,44293290,33089364,31077374600000
398836.4202,748170440000,1733074060,11530541200000,43645260,33439703,29445682300000
416549.4524,366809560000,631550959,11135360000000,42381609,35010479,27717268300000
438953.829,391594770000,353092615,10635513300000,39567488,32618134,25531076400000
461615.3531,425788170000,369677708,10155267500000,43686692,9532065,23576990400000
481173.9847,467222360000,190758160,9764327100000,43686692,8827993,22129510600000
501435.1157,533040780000,119101680,9359345700000,45705656,12230273,20630043900000
521627.7619,661438050000,57384417,8955733500000,45856215,13574585,19135645200000
540464.7381,1198477100000,44038220,8631893000000,46168132,24766832,18037233900000
561697.6738,237016290000,59101748,8283867500000,47296636,25973820,16894558400000
581064.8732,269165420000,71176941,7966423000000,47296636,23907470,15852291000000
600714.0692,322965440000,107629639,7644356520000,49879804,17826554,14794847800000
621162.9757,447401310000,43235294,7371508330000,49879804,10819086,13971645300000
640282.5012,1323080100000,41450184,7117046740000,48678396,9925340,13204844300000
661167.4001,97504308,42784158,6839089650000,46701481,9939934,12367241700000
681684.187,85137960,33834470,6580331100000,40211044,11208677,11603700500000
701476.306,89823984,34491504,6367207410000,32771460,12220836,11018469900000
720900.1975,89823984,34598028,6158049030000,32771460,8729636,10444128200000
741748.7485,82914640,34154152,5933549430000,27249480,11625992,9827660000000
761661.1197,82914640,34101345,5739717430000,27249480,49148252,9306367500000
778704.6565,74251336,32649381,5589646610000,24945038,44239172,8912095500000
798951.218,74251336,34154182,5411373400000,24945038,42773957,8443729200000
821834.2448,74600424,36985023,5209884960000,25823318,55607076,7914370800000
841332.3805,80745392,39828573,5048072730000,25256898,156496840,7533267870000
860393.0352,80745392,45224834,4892750000000,25256898,39107921,7180976640000
881731.5353,69522096,80501433,4718865640000,25768226,44448246,6786585530000
902046.2768,69522096,40973524,4554181830000,25768226,46091808,6413168230000
921592.929,69452544,42165462,4421177220000,29054060,46150462,6114750020000
941530.0442,69880305,36084671,4285515950000,29733010,50056043,5810371020000
961761.855,70850400,37556832,4147849480000,31272760,50424545,5501493070000
982600.1687,74724616,39863855,4014285090000,36482200,51007336,5206554890000
1001417.211,74724616,24287581,3911736710000,36482200,50564494,4991142060000
1021523.466,89313696,23980143,3802162270000,26922862,51017032,4760970090000
1040879.207,89313696,15112147,3696677950000,26922862,28245330,4539389650000
1060772.048,54551836,14458298,3591996120000,28632436,12941151,4332324010000
1081302.706,54108900,13411399,3488495790000,27962489,18756400,4143763020000
1101097.146,52851832,14616425,3388707580000,26061156,22453456,3961965190000
1121289.517,40105180,15167881,3286913030000,17590294,9775169,3776511970000
1140795.031,40105180,23974212,3182558530000,17590294,7571498,3626513630000
1161005.74,40110848,21005146,3071998300000,28892148,10265553,3482864550000
1181383.841,40110848,21395656,2960522410000,28892148,6806746,3338025950000
1201306.222,37337420,23062823,2851539660000,17509176,4681551,3196426570000
1221169.241,37565396,22138722,2766347910000,19157861,5082779,3076042150000
1241447.327,38312300,22133961,2680085560000,24559358,5097574,2953770640000
1261015.31,36620984,22915651,2596844600000,32832322,4785219,2835781810000
1281655.266,36620984,31008234,2516514340000,32832322,4821660,2715943650000
1301409.23,38366800,61227436,2464153530000,24987122,5960424,2616397380000
1321219.977,38366800,64814367,2411642390000,24987122,5440950,2516565220000
1341215.832,38480648,76206052,2358640450000,18550606,5744860,2415800060000
1360749.14,37695257,51784184,2304291950000,18342859,6578540,2324995840000
1381524.672,33238592,61983094,2243034320000,17164010,6517023,2238655240000
1401221.255,31343642,62512215,2184957900000,18791256,6739927,2156798360000
1421739.987,31343642,63776124,2124457340000,18791256,6983037,2071524790000
1441271.457,32240236,59492905,2071027650000,24884018,7052687,1997175300000
1462326.151,32240236,22970855,2015184700000,24884018,7876688,1919902740000
1481777.019,35024260,52938905,1963595360000,22839126,5570621,1848516130000
1501096.01,36124241,66175764,1912355740000,21677768,3972732,1777613510000
1521318.779,40042420,67891969,1867354580000,17540962,4006422,1714756450000
1541104.245,40101220,66932243,1823883680000,17493832,3695835,1653991720000
1561948.181,40101220,71664309,1778087470000,17493832,1083881,1589976560000
1581370.162,35578804,74599472,1736922940000,18721830,1083695,1533139750000
1601525.847,35578804,77924633,1700420390000,18721830,1588048,1485748390000
1621407.929,32778966,80083853,1664413490000,21147882,585620,1439000750000
1642078.242,31150410,60954932,1626978810000,21191892,1903954,1390399420000
1661171.678,28860872,67620552,1592956790000,21253764,1899608,1347557130000
1681293.897,28433736,78687329,1557818750000,19898962,1893407,1305049610000
1701442.433,28433736,105498630,1522634800000,19898962,1938897,1262486650000
1721058.296,31666600,25411982,1488381060000,14322750,1984529,1221048840000
1741072.986,31666600,17674988,1450610460000,14322750,1970430,1181846380000
1761254.393,34856500,16260498,1411113300000,13551112,1966943,1143858800000
1781900.74,36933653,15732123,1370706070000,13468399,1967395,1104995940000
1801280.86,40320536,15391251,1332777030000,13333531,2013308,1068516560000
1821406.986,30139436,17300158,1302510440000,15761708,2048665,1039877130000
1841600.16,30139436,18123205,1272899280000,15761708,2045655,1011908640000
1861684.984,23733818,14180835,1243446850000,15776316,2043345,984090080000
1881480.916,23733818,8996425,1214490110000,15776316,1950463,957891810000
1901616.229,23311774,9014940,1185371840000,16662157,1948659,936929510000
1921590.567,22584691,8953054,1156486390000,16732268,1948063,916134820000
1940876.53,21026248,9941371,1128596600000,16882544,1687252,896056900000
1961840.056,20446670,10169353,1099772620000,17169934,1155094,874803400000
1981375.99,20446670,10119983,1074837380000,17169934,1910264,855734210000
2001763.145,21157034,10735523,1048815800000,17406476,1911603,835834230000
2021264.264,21157034,12572472,1023925090000,17406476,1913306,816799080000
2042075.036,22100874,11435486,1004274620000,16495256,1954460,795959259000
2061474.841,21854094,11387623,989155540000,16307699,1956748,776288666000
2081370.819,21264262,11341893,973649790000,15859416,886245,756115026000
2101645.849,20275558,11288776,957848790000,15345952,1930591,735557213000
2121621.769,20275558,11250889,940629360000,15345952,2031351,717377712000
2141489.892,22708008,11224329,923355840000,11741071,2162616,699480940000
2161676.794,22708008,11428325,905805440000,11741071,2344820,681297275000
2181760.886,22814148,11173483,888354040000,12431964,2690302,662491096000
2201480.852,22014041,10890567,871267760000,14947672,5010257,640529273000
2221309.788,20112454,15834824,854086820000,20926672,10762929,618445785000
2241834.528,16774517,18994041,836303040000,13657959,749905,595587427000
2261461.975,16774517,19405647,820075500000,13657959,758816,577469221000
2281937.92,14521391,20926885,804342140000,11598330,769197,564311045000
2301170.57,14521391,21080122,789564258000,11598330,780559,551951968000
2320616.014,14208845,21317996,774622710000,11203823,792498,539456014000
2341492.769,14341822,21639975,757643673000,11197048,806719,524960589000
2362201.026,14654254,20799145,740221134000,11181129,1195570,509913738000
2380918.55,15034795,22549239,724473470000,9925625,941296,496313391000
2401468.762,15034795,22690917,707183872000,9925625,1009168,481381339000
2421701.783,15024142,22842034,693484960000,9839733,1030945,471276160000
2441267.774,15024142,23012574,680647279000,9839733,1054771,462070545000
2461113.439,15565805,22287086,667626028000,11602536,1056838,452733314000
2481423.499,15476683,19468643,654926126000,12125281,1114744,443062360000
2501304.733,15252768,19764854,646760810000,13438663,1151699,432809714000
2521241.74,16125437,20114153,638572614000,15779780,1195452,422528318000
2541337.616,16125437,20511485,630319214000,15779780,1062365,412165044000
2561252.957,22027682,16397769,618833214000,21934988,690578,402411955000
2582182.397,22027682,12231596,600708180000,21934988,325792,393109293000
