Energy (eV),Average,UTC
13,9.00E+07,170100
30.597,8.96E+07,170100
33.814,8.78E+07,170100
38.063,8.48E+07,170100
42.522,9.68E+07,170100
48.337,1.02E+08,170100
53.045,1.09E+08,170100
61.263,1.22E+08,170100
66.863,1.27E+08,170100
76.947,1.53E+08,170100
83.609,1.59E+08,170100
96.28,1.99E+08,170100
104.9,1.99E+08,170100
118.831,2.42E+08,170100
131.246,2.47E+08,170100
148.648,3.12E+08,170100
164.517,3.42E+08,170100
185.075,3.74E+08,170100
204.585,4.44E+08,170100
230.402,4.38E+08,170100
255.571,5.16E+08,170100
287.094,5.11E+08,170100
318.681,6.50E+08,170100
357.288,6.10E+08,170100
397.373,7.51E+08,170100
445.247,6.70E+08,170100
495.346,7.11E+08,170100
553.434,6.43E+08,170100
617.918,5.39E+08,170100
689.704,3.74E+08,170100
768.165,2.86E+08,170100
858.131,1.78E+08,170100
957.22,1.71E+08,170100
1069.1,1.46E+08,170100
1192.23,1.30E+08,170100
1331.34,1.04E+08,170100
1484.94,9.12E+07,170100
1657.59,8.11E+07,170100
1850.27,7.31E+07,170100
2063.51,6.28E+07,170100
2303.43,5.83E+07,170100
2569.64,5.18E+07,170100
2854.09,5.63E+07,170100
3190.85,4.34E+07,170100
3556.78,4.63E+07,170100
3985.31,3.95E+07,170100
4436.66,3.93E+07,170100
4970.95,3.61E+07,170100
5535.01,3.60E+07,170100
6184.33,3.35E+07,170100
6867.33,3.57E+07,170100
7676.02,3.16E+07,170100
8578.63,3.29E+07,170100
9564.75,3.08E+07,170100
10675.1,3.20E+07,170100
11908,3.00E+07,170100
13280.6,3.12E+07,170100
14854.1,3.17E+07,170100
16560.7,3.11E+07,170100
18499.2,3.17E+07,170100
20646.7,3.14E+07,170100
23030.1,2.92E+07,170100
25704.3,3.25E+07,170100
28685.2,3.10E+07,170100
31997,3.31E+07,170100
