,ATM,ALT,OI1356,OI1304
0,1.0,25919.55,0.379709364684536,1.0647835230158893
1,1.0,1796947.608,0.17116627781266358,0.6603005982084951
2,1.0,4101295.491,0.0851385923561416,0.4095500319733885
3,1.0,6023741.631999999,0.050370851985885735,0.28160280956614875
4,1.0,8116815.52,0.029374717818922508,0.18275113479884905
5,1.0,10059337.450000001,0.018351466062452897,0.123351233248461
6,1.0,12082560.6,0.012104351930391319,0.08800972039280079
7,1.0,14023312.22,0.008076360811350498,0.06184528297265847
8,1.0,15869417.040000001,0.0053959458960194965,0.04291222985188755
9,1.0,17883850.709999997,0.0035460617591894297,0.028859009624814223
10,1.0,20202401.72,0.001779353115166747,0.014768850664227482
11,1.0,22087964.89,0.001630075104094312,0.01402676378360008
12,1.0,24130466.27,0.0007830009234392072,0.006660748194710492
13,1.0,26064125.01,0.0006101301603694278,0.005270628169119401
14,1.0,28203657.21,0.0003771487521455899,0.003338959159772453
15,1.0,30161880.49,0.00027058973194822583,0.0024010678676229594
16,1.0,31846098.57,0.00015429440776527356,0.0013580274731946633
17,1.0,33916718.48,9.385899805754352e-05,0.0008239481187393958
18,1.0,36054982.91,0.0001311538373537907,0.0011872262748598217
19,1.0,38211458.06,6.0152598452883816e-05,0.0005414312292839631
20,1.0,39883642.019999996,2.698429002731983e-05,0.00023992971378631857
21,1.0,41654945.24,1.3148463258310908e-05,0.00011759474283264855
22,1.0,43895382.900000006,1.3921512642188622e-05,0.00012548784651233454
23,1.0,46161535.31,1.5175598062875044e-05,0.0001364626711159182
24,1.0,48117398.47,1.6552898339988515e-05,0.00014969664292794648
25,1.0,50143511.57,1.8842614044053143e-05,0.00017076563539124227
26,1.0,52162776.19,2.3376549528236407e-05,0.00021189685446167803
27,1.0,54046473.809999995,4.233427793759185e-05,0.0003839322430519628
28,1.0,56169767.379999995,8.382959802766614e-06,7.593282829255757e-05
29,1.0,58106487.32,9.518192770504618e-06,8.623156667858206e-05
30,1.0,60071406.92,1.1441216839240878e-05,0.0001034766882362282
31,1.0,62116297.56999999,1.5803821557237623e-05,0.00014332466552261758
32,1.0,64028250.120000005,4.6729169690111855e-05,0.00042384484973612846
33,1.0,66116740.01,7.14740817289873e-09,3.2925627761930267e-08
34,1.0,68168418.7,6.45433354733521e-09,2.884711986992605e-08
35,1.0,70147630.6,7.81866322273784e-09,3.089542951132238e-08
36,1.0,72090019.75,7.895190858750245e-09,3.093035742793478e-08
37,1.0,74174874.85,7.586104924825088e-09,2.8687275803240645e-08
38,1.0,76166111.97,6.279394046040857e-09,2.8090880945266705e-08
39,1.0,77870465.65,6.071253054059204e-09,2.5360268778271464e-08
40,1.0,79895121.8,6.229346123493445e-09,2.5432423908547582e-08
41,1.0,82183424.48,6.623140472102326e-09,2.571835741431909e-08
42,1.0,84133238.05,7.285980945699425e-09,2.7890351717603712e-08
43,1.0,86039303.52000001,8.048131665095e-09,2.8238204312564558e-08
44,1.0,88173153.53,2.2178179307950335e-08,3.127285346773864e-08
45,1.0,90204627.67999999,4.155725674483334e-09,2.304723994481922e-08
46,1.0,92159292.9,4.1405324115982165e-09,2.301914597380378e-08
47,1.0,94153004.42,4.044678840888319e-09,2.3105534152292767e-08
48,1.0,96176185.5,4.066601327999592e-09,2.341066928493107e-08
49,1.0,98260016.87,4.2047825148165555e-09,2.4652379222980996e-08
50,1.0,100141721.1,4.311017527340953e-09,2.4700865859340294e-08
51,1.0,102152346.6,4.816698566306768e-09,2.9370061637949234e-08
52,1.0,104087920.7,4.812676602134094e-09,2.9368225976525975e-08
53,1.0,106077204.8,3.6149195523862804e-09,1.8246047343873068e-08
